event_name,gps_time,catalog,network_snr,luminosity_distance,chi_eff,primary_mass,secondary_mass,primary_mass_lower,primary_mass_upper,secondary_mass_lower,secondary_mass_upper,mass_unit,system_type,total_mass,mass_ratio
GW190620_030421-v2,1245035079.3,GWTC-2.1-confident,12.1,2910.0,0.34,58.0,35.0,-13.3,19.2,-14.5,13.1,M_sun,BBH,93.0,0.603448275862069
GW190602_175927-v2,1243533585.0,GWTC-2.1-confident,13.2,2840.0,0.12,71.8,44.8,-14.6,18.1,-19.6,15.5,M_sun,BBH,116.6,0.6239554317548747
GW190527_092055-v2,1242984073.7,GWTC-2.1-confident,8.0,2520.0,0.1,35.6,22.2,-8.0,18.7,-8.7,9.0,M_sun,BBH,57.8,0.6235955056179775
GW190521_074359-v2,1242459857.4,GWTC-2.1-confident,25.9,1080.0,0.1,43.4,33.4,-5.5,5.8,-6.8,5.2,M_sun,BBH,76.8,0.7695852534562212
GW190521_030229-v4,1242442967.4,GWTC-2.1-confident,14.3,3310.0,-0.14,98.4,57.2,-21.7,33.6,-30.1,27.1,M_sun,BBH,155.60000000000002,0.5813008130081301
GW190519_153544-v2,1242315362.3,GWTC-2.1-confident,15.9,2600.0,0.33,65.1,40.8,-11.0,10.8,-12.7,11.5,M_sun,BBH,105.89999999999999,0.6267281105990784
GW190517_055101-v2,1242107479.8,GWTC-2.1-confident,10.8,1790.0,0.49,39.2,24.0,-9.2,13.9,-7.9,7.4,M_sun,BBH,63.2,0.6122448979591836
GW190514_065416-v2,1241852074.8,GWTC-2.1-confident,8.0,3890.0,-0.08,40.9,28.4,-9.3,17.3,-10.1,10.0,M_sun,BBH,69.3,0.6943765281173594
GW190513_205428-v2,1241816086.7,GWTC-2.1-confident,12.5,2210.0,0.16,36.0,18.3,-9.7,10.6,-4.7,7.4,M_sun,BBH,54.3,0.5083333333333333
GW190512_180714-v2,1241719652.4,GWTC-2.1-confident,12.7,1460.0,0.02,23.2,12.5,-5.6,5.6,-2.6,3.5,M_sun,BBH,35.7,0.5387931034482759
GW190503_185404-v2,1240944862.2,GWTC-2.1-confident,12.2,1520.0,-0.05,41.3,28.3,-7.7,10.3,-9.2,7.5,M_sun,BBH,69.6,0.6852300242130751
GW190426_190642-v1,1240340820.6,GWTC-2.1-confident,8.7,4580.0,0.23,105.5,76.0,-24.1,45.3,-36.5,26.2,M_sun,BBH,181.5,0.7203791469194313
GW190425_081805-v3,1240215503.0,GWTC-2.1-confident,12.4,150.0,0.07,2.1,1.3,-0.4,0.5,-0.2,0.3,M_sun,BNS,3.4000000000000004,0.6190476190476191
GW190421_213856-v2,1239917954.2,GWTC-2.1-confident,10.7,2590.0,-0.1,42.0,32.0,-7.4,10.1,-9.8,8.3,M_sun,BBH,74.0,0.7619047619047619
GW190413_134308-v2,1239198206.7,GWTC-2.1-confident,10.6,3800.0,-0.01,51.3,30.4,-12.6,16.6,-12.7,11.7,M_sun,BBH,81.69999999999999,0.5925925925925926
GW190413_052954-v2,1239168612.5,GWTC-2.1-confident,9.0,3320.0,-0.04,33.7,24.2,-6.4,10.4,-7.0,6.5,M_sun,BBH,57.900000000000006,0.7181008902077151
GW190412_053044-v4,1239082262.1,GWTC-2.1-confident,19.8,720.0,0.21,27.7,9.0,-6.0,6.0,-1.4,2.0,M_sun,BBH,36.7,0.3249097472924188
GW190408_181802-v2,1238782700.2,GWTC-2.1-confident,14.6,1540.0,-0.03,24.8,18.5,-3.5,5.4,-4.0,3.3,M_sun,BBH,43.3,0.7459677419354839
GW190403_051519-v1,1238303737.2,GWTC-2.1-confident,7.6,8280.0,0.68,85.0,20.0,-33.0,27.8,-8.4,26.3,M_sun,BBH,105.0,0.23529411764705882
GW170823-v1,1187529256.5,GWTC-1-confident,12.2,1940.0,0.09,39.5,29.0,-6.7,11.2,-7.8,6.7,M_sun,BBH,68.5,0.7341772151898734
GW170818-v1,1187058327.1,GWTC-1-confident,12.0,1060.0,-0.09,35.4,26.7,-4.7,7.5,-5.2,4.3,M_sun,BBH,62.099999999999994,0.7542372881355932
GW170817-v3,1187008882.4,GWTC-1-confident,33.0,40.0,0.0,1.46,1.27,-0.1,0.12,-0.09,0.09,M_sun,BNS,2.73,0.8698630136986302
GW170814-v3,1186741861.5,GWTC-1-confident,17.7,600.0,0.07,30.6,25.2,-3.0,5.6,-4.0,2.8,M_sun,BBH,55.8,0.8235294117647058
GW170809-v1,1186302519.8,GWTC-1-confident,12.8,1030.0,0.08,35.0,23.8,-5.9,8.3,-5.2,5.1,M_sun,BBH,58.8,0.68
GW170729-v1,1185389807.3,GWTC-1-confident,10.8,2840.0,0.37,50.2,34.0,-10.2,16.2,-10.1,9.1,M_sun,BBH,84.2,0.6772908366533864
GW170608-v3,1180922494.5,GWTC-1-confident,15.4,320.0,0.03,11.0,7.6,-1.7,5.5,-2.2,1.4,M_sun,BBH,18.6,0.6909090909090909
GW170104-v2,1167559936.6,GWTC-1-confident,13.8,990.0,-0.04,30.8,20.0,-5.6,7.3,-4.6,4.9,M_sun,BBH,50.8,0.6493506493506493
GW151226-v2,1135136350.6,GWTC-1-confident,13.1,450.0,0.18,13.7,7.7,-3.2,8.8,-2.5,2.2,M_sun,BBH,21.4,0.562043795620438
GW151012-v3,1128678900.4,GWTC-1-confident,10.0,1080.0,0.05,23.2,13.6,-5.5,14.9,-4.8,4.1,M_sun,BBH,36.8,0.5862068965517241
GW150914-v3,1126259462.4,GWTC-1-confident,26.0,440.0,-0.01,35.6,30.6,-3.1,4.7,-4.4,3.0,M_sun,BBH,66.2,0.8595505617977528
